student_id,problem,file,compile,status,passed,total,score_pct,failed_tests,error,changes,repair_level,severity,optimal,optimal_note
69560,contains_nearby_duplicate,69560.java,ok,graded,5,8,62,true_basic; true_adjacent; true_exact_k,,"[syntax-only] Mechanical Java->Python transpile; [syntax-only] Replaced && with and; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def containsNearbyDuplicate(nums, k): return 0`",aggressive,Minor Error,True,
73748,contains_nearby_duplicate,73748.py,ok,graded,8,8,100,,,[syntax-only] Fixed typo -> 'True'; [syntax-only] Fixed typo -> 'False',lightweight,,True,
74837,contains_nearby_duplicate,74837.py,ok,graded,1,8,12,true_basic; true_adjacent; false_too_far; false_k_zero; single_element; no_dups; true_exact_k,,[syntax-only] Extracted function block from noisy file,lightweight,Critical Error,True,
75870,contains_nearby_duplicate,75870.py,ok,graded,8,8,100,,,,lightweight,,True,
77137,contains_nearby_duplicate,77137.py,ok,graded,0,8,0,true_basic; true_adjacent; false_too_far; false_k_zero; single_element; no_dups; true_exact_k; empty,,[syntax-only] Lowered keyword 'If',lightweight,Critical Error,True,
77139,contains_nearby_duplicate,77139.py,ok,graded,6,8,75,true_basic; true_exact_k,,[syntax-only] Fixed typo -> 'True'; [syntax-only] Fixed typo -> 'False',lightweight,Minor Error,True,
77510,contains_nearby_duplicate,77510.py,ok,graded,6,8,75,false_too_far; false_k_zero,,[syntax-only] Lowered keyword 'Def'; [syntax-only] Lowered keyword 'For'; [syntax-only] Lowered keyword 'If'; [syntax-only] Lowered keyword 'Return'; [syntax-only] Replaced em/en dashes with hyphens,lightweight,Minor Error,True,
77672,contains_nearby_duplicate,77672.py,ok,graded,8,8,100,,,,lightweight,,True,
78296,contains_nearby_duplicate,78296.py,ok,graded,8,8,100,,,,lightweight,,True,
78601,contains_nearby_duplicate,78601.py,ok,graded,4,8,50,true_basic; true_adjacent; true_exact_k; empty,,[syntax-only] Fixed --> to ->; [syntax-only] Fixed typo -> 'True'; [syntax-only] Fixed typo -> 'False',lightweight,Critical Error,True,
79145,contains_nearby_duplicate,79145.py,ok,graded,1,8,12,true_basic; true_adjacent; false_too_far; false_k_zero; single_element; no_dups; true_exact_k,,,lightweight,Critical Error,True,
66827,merge_two_sorted_lists,66827.py,ok,graded,0,7,0,example1; both_empty; one_empty; other_empty; interleave; all_same; single_each,,"[syntax-only] Fixed typo -> 'None'; [syntax-only] Added missing colons; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def mergeTwoLists(list1, list2): return 0`",aggressive,Critical Error,True,
67454,merge_two_sorted_lists,67454.py,ok,graded,0,7,0,example1; both_empty; one_empty; other_empty; interleave; all_same; single_each,,"[syntax-only] Fixed --> to ->; [syntax-only] Fixed typo -> 'None'; [syntax-only] Fixed typo -> 'True'; [syntax-only] Removed C-style braces; [ambiguous] Conservative re-indent: normalized indent levels to 4-space tiers; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def mergeTwoLists(list1, list2): return 0`",aggressive,Critical Error,True,
68729,merge_two_sorted_lists,68729.py,ok,graded,7,7,100,,,,lightweight,,True,
69792,merge_two_sorted_lists,69792.py,ok,graded,7,7,100,,,[syntax-only] Lowered keyword 'Return',lightweight,,True,
70844,merge_two_sorted_lists,70844.py,ok,graded,1,7,14,example1; both_empty; other_empty; interleave; all_same; single_each,,[syntax-only] Fixed typo -> 'None'; [syntax-only] Extracted function block from noisy file,lightweight,Critical Error,True,
74406,merge_two_sorted_lists,74406.py,ok,graded,0,7,0,example1; both_empty; one_empty; other_empty; interleave; all_same; single_each,,,lightweight,Critical Error,True,
75705,merge_two_sorted_lists,75705.py,ok,graded,3,7,43,example1; interleave; all_same; single_each,,[syntax-only] Extracted function block from noisy file,lightweight,Critical Error,True,
75928,merge_two_sorted_lists,75928.java,ok,graded,0,7,0,example1; both_empty; one_empty; other_empty; interleave; all_same; single_each,,"[syntax-only] Mechanical Java->Python transpile; [syntax-only] Fixed typo -> 'None'; [syntax-only] Replaced && with and; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def mergeTwoLists(list1, list2): return 0`",aggressive,Critical Error,True,
77421,merge_two_sorted_lists,77421.py,ok,graded,3,7,43,example1; interleave; all_same; single_each,,,lightweight,Critical Error,True,
78282,merge_two_sorted_lists,78282.py,ok,graded,1,7,14,example1; both_empty; one_empty; interleave; all_same; single_each,,,lightweight,Critical Error,True,
78968,merge_two_sorted_lists,78968.py,ok,graded,0,7,0,example1; both_empty; one_empty; other_empty; interleave; all_same; single_each,,"[syntax-only] Extracted function block from noisy file; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def mergeTwoLists(list1, list2): return 0`",aggressive,Critical Error,True,
79884,merge_two_sorted_lists,79884.py,ok,graded,7,7,100,,,,lightweight,,True,
79930,merge_two_sorted_lists,79930.py,ok,graded,0,7,0,example1; both_empty; one_empty; other_empty; interleave; all_same; single_each,,"[syntax-only] Fixed typo -> 'None'; [syntax-only] Removed trailing semicolons; [syntax-only] Added missing colons; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def mergeTwoLists(list1, list2): return 0`",aggressive,Critical Error,True,
79975,merge_two_sorted_lists,79975.py,ok,graded,1,7,14,example1; one_empty; other_empty; interleave; all_same; single_each,,[syntax-only] Lowered keyword 'If',lightweight,Critical Error,True,
66963,eval_rpn,66963.py,ok,graded,0,7,0,example1; example2; example3; add_only; single; subtract; neg_divide,,[syntax-only] Appended 1 missing closing bracket(s); [ambiguous] Conservative re-indent: normalized indent levels to 4-space tiers; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def evalRPN(tokens): return 0`,aggressive,Critical Error,True,
67982,eval_rpn,67982.py,ok,graded,3,7,43,example2; example3; subtract; neg_divide,,[syntax-only] Extracted function block from noisy file,lightweight,Critical Error,True,
69252,eval_rpn,69252.py,ok,graded,7,7,100,,,,lightweight,,True,
69531,eval_rpn,69531.py,ok,graded,0,7,0,example1; example2; example3; add_only; single; subtract; neg_divide,,[syntax-only] Replaced || with or; [syntax-only] Removed trailing semicolons; [ambiguous] Conservative re-indent: normalized indent levels to 4-space tiers; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def evalRPN(tokens): return 0`,aggressive,Critical Error,True,
70932,eval_rpn,70932.py,ok,graded,7,7,100,,,,lightweight,,True,
70939,eval_rpn,70939.java,ok,graded,0,7,0,example1; example2; example3; add_only; single; subtract; neg_divide,,[syntax-only] Mechanical Java->Python transpile; [syntax-only] Added missing colons; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def evalRPN(tokens): return 0`,aggressive,Critical Error,True,
70953,eval_rpn,70953.py,ok,graded,6,7,86,example3,,,lightweight,Minor Error,True,
75620,eval_rpn,75620.py,ok,graded,3,7,43,example2; example3; subtract; neg_divide,,[syntax-only] Lowered keyword 'Return',lightweight,Critical Error,True,
75746,eval_rpn,75746.py,ok,graded,7,7,100,,,,lightweight,,True,
77220,eval_rpn,77220.py,ok,graded,1,7,14,example1; example2; example3; add_only; subtract; neg_divide,,,lightweight,Critical Error,True,
77764,eval_rpn,77764.java,ok,graded,0,7,0,example1; example2; example3; add_only; single; subtract; neg_divide,,[syntax-only] Mechanical Java->Python transpile; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def evalRPN(tokens): return 0`,aggressive,Critical Error,True,
78738,eval_rpn,78738.py,ok,graded,5,7,71,example3; single,,,lightweight,Minor Error,True,
79318,eval_rpn,79318.py,ok,graded,0,7,0,example1; example2; example3; add_only; single; subtract; neg_divide,,[syntax-only] Extracted function block from noisy file,lightweight,Critical Error,True,
79344,eval_rpn,79344.py,ok,graded,0,7,0,example1; example2; example3; add_only; single; subtract; neg_divide,,[logic-affecting] Replaced unparseable code with stub `def evalRPN(tokens): return 0`,aggressive,Critical Error,True,
79751,eval_rpn,79751.py,ok,graded,7,7,100,,,,lightweight,,True,
79826,eval_rpn,79826.py,ok,graded,7,7,100,,,,lightweight,,True,
80058,eval_rpn,80058.py,ok,graded,0,7,0,example1; example2; example3; add_only; single; subtract; neg_divide,,,lightweight,Critical Error,True,
